keys,en,es,fr
,,,
KEY_MM_START,Start,mm1,fr1
KEY_MM_CONTROLS,Controls,mm2,fr2
KEY_MM_CREDITS,Credits,mm3,fr3
KEY_MM_EXIT,Exit,mm4,fr4
KEY_MM_LANG,English,???,French
,,,
KEY_MM_CRED_DEV,Lead Developer,,
KEY_MM_CRED_2D,2D and Pixel Art,,
KEY_MM_CRED_3D,3D Modeling and Texturing,,
KEY_MM_CRED_SOUND,Sounds and Music,,
KEY_MM_CRED_WRIT,Writing and Translating,,
KEY_MM_CRED_SPEC,Special Thanks,,
KEY_MM_CRED_EXSPEC,Extra Special Thanks,,
KEY_MM_CRED_CREW,and The entire Amphibia crew!,,
KEY_MM_CRED_THNX,Thanks for playing our game!!!,,
,,,
KEY_MM_CONT_KB1," wasd   - movement \n f,q     - run \n Double tap wsad - run \n Enter - Pause",,
KEY_MM_CONT_KB2," k         - light attack \n i         - heavy attack \n l         -  jump \n o,p,j - block",,
KEY_MM_CONT_TYPE_KB,Keyboard,,
KEY_MM_CONT_TYPE_GP,Gamepad,,
KEY_MM_CONT_VOL1, n - fullscreen \n m - mute audio,,
KEY_MM_CONT_VOL2," + or . - volume up \n - or , - volume down",,
KEY_MM_CONT_GP1,"L1,L2 - run            R1,R2 - block",,
KEY_MM_CONT_GP2, Dpad - movement \n\n\n               - Run \n\n\n Start - Pause,,
KEY_MM_CONT_GP3, Double \n tap \n Dpad,,
KEY_MM_CONT_GP4," x - light \n       attack \n\n y - heavy \n       attack \n\n a - jump \n\n b - block, \n       back",,
,,,
KEY_MENU_BACK,Back,,
